NECK_TO_HEAD.x,NECK_TO_HEAD.y,NECK_TO_HEAD.z,TORSO_TO_NECK.x,TORSO_TO_NECK.y,TORSO_TO_NECK.z,NECK_TO_RIGHTSHOULDER.x,NECK_TO_RIGHTSHOULDER.y,NECK_TO_RIGHTSHOULDER.z,RIGHTSHOULDER_TO_RIGHTELBOW.x,RIGHTSHOULDER_TO_RIGHTELBOW.y,RIGHTSHOULDER_TO_RIGHTELBOW.z,RIGHTELBOW_TO_RIGHTHAND.x,RIGHTELBOW_TO_RIGHTHAND.y,RIGHTELBOW_TO_RIGHTHAND.z,NECK_TO_LEFTSHOULDER.x,NECK_TO_LEFTSHOULDER.y,NECK_TO_LEFTSHOULDER.z,LEFTSHOULDER_TO_LEFTELBOW.x,LEFTSHOULDER_TO_LEFTELBOW.y,LEFTSHOULDER_TO_LEFTELBOW.z,LEFTELBOW_TO_LEFTHAND.x,LEFTELBOW_TO_LEFTHAND.y,LEFTELBOW_TO_LEFTHAND.z,TORSO_TO_RIGHTHIP.x,TORSO_TO_RIGHTHIP.y,TORSO_TO_RIGHTHIP.z,TORSO_TO_LEFTHIP.x,TORSO_TO_LEFTHIP.y,TORSO_TO_LEFTHIP.z,answer
0.183521,-0.972575,0.14289,0.149981,-0.984834,0.0872231,-0.876033,-0.0914769,0.473495,-0.523458,0.446956,0.725412,0.047465,-0.0982149,0.994033,0.876034,0.0914763,-0.473495,0.443078,0.772215,-0.455375,0.628107,-0.135405,0.766255,-0.515934,0.847115,0.127311,0.245804,0.926657,-0.284407,muscle
0.18399,-0.973739,0.134089,0.155383,-0.984618,0.079892,-0.874389,-0.0994523,0.474924,-0.496159,0.493745,0.714172,0.0328717,-0.131551,0.990764,0.874389,0.0994523,-0.474924,0.44623,0.754437,-0.481357,0.630198,-0.12695,0.765985,-0.520009,0.843507,0.134486,0.240137,0.929965,-0.278386,muscle
0.183123,-0.972074,0.146762,0.155591,-0.984014,0.0866437,-0.872358,-0.0957237,0.479405,-0.496256,0.502323,0.708098,0.0254508,-0.13014,0.991169,0.872358,0.0957237,-0.479405,0.458012,0.737187,-0.496771,0.632077,-0.121369,0.765342,-0.53361,0.834106,0.139742,0.256132,0.920764,-0.294261,muscle
0.182985,-0.975048,0.125687,0.157277,-0.985363,0.0657617,-0.885236,-0.111153,0.451666,-0.507521,0.490687,0.708271,0.015095,-0.100559,0.994817,0.885236,0.111152,-0.451665,0.46523,0.721018,-0.513512,0.639755,-0.155891,0.752603,-0.542782,0.826924,0.146914,0.262663,0.928058,-0.264039,muscle
0.182924,-0.976363,0.115125,0.159838,-0.985485,0.0571879,-0.891211,-0.11915,0.43766,-0.510194,0.469722,0.720461,-0.00177397,-0.0842893,0.99644,0.891211,0.119151,-0.43766,0.475222,0.712817,-0.515807,0.653389,-0.153032,0.741394,-0.558845,0.814738,0.154579,0.276444,0.926411,-0.255618,muscle
0.168333,-0.979865,0.107368,0.149357,-0.987645,0.047427,-0.900031,-0.115934,0.420124,-0.528265,0.497053,0.688386,-0.00993437,-0.142905,0.989686,0.900031,0.115934,-0.420124,0.470399,0.710675,-0.523131,0.63954,-0.140154,0.755874,-0.568899,0.806041,0.163252,0.308029,0.918999,-0.246089,muscle
0.161217,-0.980968,0.108213,0.146277,-0.988088,0.0478119,-0.912685,-0.116156,0.391809,-0.547778,0.49075,0.677572,-0.0302683,-0.12898,0.991185,0.912685,0.116155,-0.391809,0.489359,0.714815,-0.499567,0.609531,-0.167719,0.774818,-0.57076,0.807613,0.148309,0.314954,0.920335,-0.231921,muscle
0.145195,-0.984506,0.0983195,0.132128,-0.990501,0.0380877,-0.93001,-0.110581,0.350504,-0.522652,0.531054,0.666946,-0.0446931,-0.211871,0.976275,0.93001,0.110582,-0.350504,0.489555,0.7267,-0.481916,0.571417,-0.193361,0.797555,-0.568513,0.8111,0.137515,0.337744,0.918857,-0.204037,muscle
0.142041,-0.983893,0.108526,0.128081,-0.990587,0.0483054,-0.936033,-0.104643,0.335995,-0.530288,0.548961,0.646093,-0.0657126,-0.22188,0.972857,0.936033,0.104642,-0.335995,0.478061,0.742372,-0.469405,0.555837,-0.199765,0.806932,-0.566303,0.81529,0.120847,0.342338,0.91687,-0.205315,muscle
0.13836,-0.983678,0.115043,0.126971,-0.990578,0.051315,-0.94306,-0.104522,0.315775,-0.534201,0.557431,0.635532,-0.0840373,-0.221941,0.971432,0.94306,0.104522,-0.315775,0.491165,0.753675,-0.436728,0.574593,-0.198736,0.793944,-0.561986,0.82036,0.105741,0.338883,0.920206,-0.195907,muscle
0.14049,-0.984049,0.109129,0.125455,-0.990892,0.0489207,-0.945776,-0.104561,0.307531,-0.549395,0.550571,0.628519,-0.0928777,-0.166299,0.981692,0.945776,0.104561,-0.307531,0.513222,0.760298,-0.398185,0.571798,-0.174774,0.801562,-0.557441,0.823903,0.10219,0.336306,0.922711,-0.188421,muscle
0.1454,-0.982256,0.118459,0.128619,-0.990199,0.05444,-0.944638,-0.105622,0.310649,-0.5415,0.562905,0.624433,-0.126891,-0.148844,0.980686,0.944638,0.105622,-0.310649,0.533116,0.774675,-0.340095,0.576447,-0.195238,0.793468,-0.556684,0.824967,0.0976333,0.3295,0.924053,-0.193792,muscle
