NECK_TO_HEAD.x,NECK_TO_HEAD.y,NECK_TO_HEAD.z,TORSO_TO_NECK.x,TORSO_TO_NECK.y,TORSO_TO_NECK.z,NECK_TO_RIGHTSHOULDER.x,NECK_TO_RIGHTSHOULDER.y,NECK_TO_RIGHTSHOULDER.z,RIGHTSHOULDER_TO_RIGHTELBOW.x,RIGHTSHOULDER_TO_RIGHTELBOW.y,RIGHTSHOULDER_TO_RIGHTELBOW.z,RIGHTELBOW_TO_RIGHTHAND.x,RIGHTELBOW_TO_RIGHTHAND.y,RIGHTELBOW_TO_RIGHTHAND.z,NECK_TO_LEFTSHOULDER.x,NECK_TO_LEFTSHOULDER.y,NECK_TO_LEFTSHOULDER.z,LEFTSHOULDER_TO_LEFTELBOW.x,LEFTSHOULDER_TO_LEFTELBOW.y,LEFTSHOULDER_TO_LEFTELBOW.z,LEFTELBOW_TO_LEFTHAND.x,LEFTELBOW_TO_LEFTHAND.y,LEFTELBOW_TO_LEFTHAND.z,TORSO_TO_RIGHTHIP.x,TORSO_TO_RIGHTHIP.y,TORSO_TO_RIGHTHIP.z,TORSO_TO_LEFTHIP.x,TORSO_TO_LEFTHIP.y,TORSO_TO_LEFTHIP.z,answer
0.117938,-0.917655,-0.379474,0.144638,-0.915953,-0.374313,-0.869524,-0.298201,0.393706,-0.1064,0.0821836,0.990921,0.478675,-0.863292,-0.159992,0.869524,0.298201,-0.393706,0.99508,0.074087,-0.0657823,0.0546211,-0.98699,-0.15122,-0.494681,0.707606,0.504564,0.231859,0.956769,0.175598,101
0.101288,-0.923862,-0.36908,0.129441,-0.922158,-0.364513,-0.873933,-0.279779,0.397447,-0.119778,0.09063,0.988655,0.465115,-0.873901,-0.141299,0.873933,0.279779,-0.397447,0.994767,0.0772866,-0.0668303,0.0465438,-0.983505,-0.174791,-0.483223,0.720501,0.497367,0.24809,0.95462,0.16478,101
0.0898325,-0.930533,-0.35502,0.114438,-0.929035,-0.35185,-0.87884,-0.259814,0.400172,-0.127748,0.094176,0.987325,0.444273,-0.884392,-0.14308,0.87884,0.259814,-0.400172,0.989642,0.11406,-0.0871745,0.0522448,-0.98842,-0.142465,-0.471931,0.734866,0.487086,0.264086,0.952455,0.151947,101
0.0735499,-0.934987,-0.346972,0.1053,-0.935081,-0.338432,-0.886687,-0.242365,0.393758,-0.141191,0.0902741,0.985858,0.441447,-0.889338,-0.11917,0.886687,0.242365,-0.393758,0.986284,0.14444,-0.0798831,0.0575993,-0.986907,-0.150658,-0.467032,0.747572,0.472247,0.275799,0.950613,0.142373,101
0.0653892,-0.937919,-0.340635,0.0966358,-0.938844,-0.330505,-0.886796,-0.231995,0.399713,-0.15305,0.0854999,0.984513,0.438542,-0.890467,-0.121447,0.886796,0.231995,-0.399713,0.987024,0.153747,-0.0463253,0.0716927,-0.986787,-0.145299,-0.459249,0.755302,0.467556,0.283754,0.949677,0.132656,101
-0.0102892,-0.988444,0.151234,-0.0235865,-0.996799,0.0763957,-0.940954,0.047948,0.335121,-0.474942,0.835731,-0.27565,-0.189511,0.68897,0.699576,0.940954,-0.047948,-0.335121,0.386436,0.892487,-0.232665,0.202545,0.866628,0.455996,-0.355332,0.932529,0.0642505,0.398554,0.894113,-0.204246,102
0.00198953,-0.990782,0.13545,-0.00416169,-0.99786,0.0652572,-0.909535,0.0308975,0.414477,-0.535546,0.836922,-0.112925,-0.107425,0.739638,0.664376,0.909535,-0.0308981,-0.414477,0.402492,0.829094,-0.388076,0.256483,0.916625,0.306618,-0.37618,0.919524,0.113858,0.383741,0.893708,-0.232439,102
-0.000145437,-0.992972,0.118347,-0.00784761,-0.998703,0.0503025,-0.925154,0.0263418,0.378676,-0.511719,0.846194,-0.148659,-0.126987,0.694231,0.708462,0.925154,-0.0263415,-0.378676,0.41613,0.809775,-0.413643,0.221461,0.920979,0.320549,-0.384397,0.916018,0.114672,0.398617,0.893723,-0.205824,102
0.00435973,-0.99253,0.121927,-0.00465434,-0.998764,0.04948,-0.934819,0.0219152,0.354447,-0.50471,0.853776,-0.127809,-0.128933,0.687492,0.714655,0.934819,-0.0219152,-0.354447,0.409308,0.791005,-0.454729,0.242364,0.918137,0.313503,-0.391352,0.914214,0.105152,0.399786,0.895666,-0.194816,102
0.00316472,-0.99325,0.115953,-0.00392642,-0.998985,0.044862,-0.942308,0.0187119,0.334225,-0.491541,0.863096,-0.115984,-0.143861,0.698476,0.701025,0.942308,-0.0187114,-0.334225,0.399134,0.788864,-0.467318,0.259197,0.921082,0.290559,-0.396839,0.91227,0.101404,0.403947,0.896367,-0.182625,102
