NECK_TO_HEAD.x,NECK_TO_HEAD.y,NECK_TO_HEAD.z,TORSO_TO_NECK.x,TORSO_TO_NECK.y,TORSO_TO_NECK.z,NECK_TO_RIGHTSHOULDER.x,NECK_TO_RIGHTSHOULDER.y,NECK_TO_RIGHTSHOULDER.z,RIGHTSHOULDER_TO_RIGHTELBOW.x,RIGHTSHOULDER_TO_RIGHTELBOW.y,RIGHTSHOULDER_TO_RIGHTELBOW.z,RIGHTELBOW_TO_RIGHTHAND.x,RIGHTELBOW_TO_RIGHTHAND.y,RIGHTELBOW_TO_RIGHTHAND.z,NECK_TO_LEFTSHOULDER.x,NECK_TO_LEFTSHOULDER.y,NECK_TO_LEFTSHOULDER.z,LEFTSHOULDER_TO_LEFTELBOW.x,LEFTSHOULDER_TO_LEFTELBOW.y,LEFTSHOULDER_TO_LEFTELBOW.z,LEFTELBOW_TO_LEFTHAND.x,LEFTELBOW_TO_LEFTHAND.y,LEFTELBOW_TO_LEFTHAND.z,TORSO_TO_RIGHTHIP.x,TORSO_TO_RIGHTHIP.y,TORSO_TO_RIGHTHIP.z,TORSO_TO_LEFTHIP.x,TORSO_TO_LEFTHIP.y,TORSO_TO_LEFTHIP.z,answer
0.122449,-0.911153,-0.393455,0.109968,-0.914473,-0.389418,-0.779159,-0.322566,0.537459,-0.25499,0.62178,0.74052,-0.0553359,0.716128,0.695772,0.779159,0.322566,-0.537459,0.32182,0.832408,-0.451142,0.368358,0.854544,0.36615,-0.426277,0.695214,0.578762,0.226573,0.96549,0.128429,100
0.122707,-0.914238,-0.38615,0.108651,-0.916751,-0.384398,-0.774707,-0.320395,0.545138,-0.265577,0.627407,0.732004,-0.0452517,0.715341,0.697309,0.774707,0.320395,-0.545138,0.344029,0.841286,-0.416992,0.341573,0.846207,0.408976,-0.423181,0.698229,0.577403,0.225863,0.966654,0.120691,100
0.121814,-0.916943,-0.37997,0.111923,-0.918391,-0.379514,-0.781944,-0.317071,0.536683,-0.26123,0.636132,0.726013,-0.0560449,0.698472,0.713439,0.781944,0.317071,-0.536683,0.345903,0.852388,-0.392155,0.331922,0.828574,0.450881,-0.429236,0.701057,0.569452,0.225985,0.966743,0.119745,100
0.109501,-0.922146,-0.371021,0.0961151,-0.92427,-0.36944,-0.789953,-0.296645,0.536634,-0.273657,0.633168,0.724024,-0.062807,0.675893,0.734318,0.789953,0.296645,-0.536634,0.336394,0.865415,-0.371344,0.349761,0.782379,0.515316,-0.418303,0.714889,0.560318,0.243766,0.963512,0.110557,100
0.106518,-0.922803,-0.370254,0.0912693,-0.926081,-0.366119,-0.80202,-0.286287,0.524217,-0.290865,0.627073,0.722618,-0.0607048,0.645058,0.761718,0.80202,0.286287,-0.524217,0.371353,0.868227,-0.329058,0.334805,0.740398,0.582852,-0.418903,0.720929,0.552071,0.253159,0.960826,0.112798,100
0.104258,-0.927767,-0.358299,0.0942148,-0.928855,-0.358264,-0.819151,-0.276843,0.502345,-0.295778,0.621564,0.725378,-0.0658079,0.623171,0.779312,0.819151,0.276843,-0.502345,0.371703,0.879837,-0.296181,0.342297,0.704954,0.621186,-0.42874,0.727416,0.535768,0.257646,0.95939,0.114841,100
0.100488,-0.93038,-0.352556,0.0913932,-0.931433,-0.35225,-0.826637,-0.2682,0.494712,-0.308504,0.612225,0.728015,-0.0738981,0.597741,0.798276,0.826637,0.2682,-0.494712,0.383744,0.882811,-0.270897,0.351451,0.677802,0.645808,-0.429242,0.733443,0.52708,0.263264,0.958125,0.11264,100
0.094964,-0.93225,-0.34913,0.0946863,-0.931192,-0.352018,-0.831213,-0.268542,0.486796,-0.319321,0.613158,0.722545,-0.0680809,0.577425,0.8136,0.831213,0.268542,-0.486796,0.381236,0.888239,-0.256301,0.378398,0.64182,0.666995,-0.434199,0.733037,0.523573,0.262246,0.95804,0.115704,100
0.0905255,-0.93362,-0.346638,0.0945459,-0.929122,-0.357483,-0.832849,-0.270538,0.482879,-0.323057,0.616261,0.718232,-0.0690185,0.569115,0.819356,0.832849,0.270538,-0.482879,0.377173,0.892867,-0.246025,0.401422,0.631384,0.663487,-0.434799,0.730283,0.526912,0.263105,0.956988,0.122272,100
0.0937465,-0.929376,-0.357033,0.0941077,-0.92551,-0.366845,-0.838964,-0.272106,0.471274,-0.319767,0.618232,0.71801,-0.0611109,0.567215,0.8213,0.838964,0.272105,-0.471274,0.355698,0.898109,-0.258611,0.414899,0.62681,0.659521,-0.437002,0.726313,0.530564,0.266109,0.954357,0.135604,100
