NECK_TO_HEAD.x,NECK_TO_HEAD.y,NECK_TO_HEAD.z,TORSO_TO_NECK.x,TORSO_TO_NECK.y,TORSO_TO_NECK.z,NECK_TO_RIGHTSHOULDER.x,NECK_TO_RIGHTSHOULDER.y,NECK_TO_RIGHTSHOULDER.z,RIGHTSHOULDER_TO_RIGHTELBOW.x,RIGHTSHOULDER_TO_RIGHTELBOW.y,RIGHTSHOULDER_TO_RIGHTELBOW.z,RIGHTELBOW_TO_RIGHTHAND.x,RIGHTELBOW_TO_RIGHTHAND.y,RIGHTELBOW_TO_RIGHTHAND.z,NECK_TO_LEFTSHOULDER.x,NECK_TO_LEFTSHOULDER.y,NECK_TO_LEFTSHOULDER.z,LEFTSHOULDER_TO_LEFTELBOW.x,LEFTSHOULDER_TO_LEFTELBOW.y,LEFTSHOULDER_TO_LEFTELBOW.z,LEFTELBOW_TO_LEFTHAND.x,LEFTELBOW_TO_LEFTHAND.y,LEFTELBOW_TO_LEFTHAND.z,TORSO_TO_RIGHTHIP.x,TORSO_TO_RIGHTHIP.y,TORSO_TO_RIGHTHIP.z,TORSO_TO_LEFTHIP.x,TORSO_TO_LEFTHIP.y,TORSO_TO_LEFTHIP.z,answer
0.23341,-0.959366,-0.158545,0.231124,-0.959726,-0.159714,-0.621391,-0.0478148,-0.78204,-0.673971,0.703993,-0.223958,-0.692924,0.66813,0.271034,0.621392,0.0478148,0.78204,0.276427,0.834848,0.476043,-0.416155,0.625043,0.660406,-0.465888,0.868456,-0.169507,0.037506,0.889285,0.455813,100
0.230955,-0.960315,-0.156378,0.231905,-0.960008,-0.156856,-0.631263,-0.053278,-0.773737,-0.673497,0.698808,-0.240974,-0.687563,0.663377,0.295277,0.631264,0.053278,0.773736,0.281947,0.842287,0.45941,-0.373619,0.666169,0.645467,-0.470206,0.86636,-0.168304,0.0404171,0.892244,0.449741,100
0.237265,-0.959853,-0.149625,0.235526,-0.96069,-0.146974,-0.636741,-0.0654302,-0.768297,-0.683434,0.68928,-0.240438,-0.674552,0.659344,0.332031,0.636741,0.0654299,0.768297,0.303493,0.844636,0.441001,-0.356048,0.701239,0.617651,-0.476192,0.861546,-0.176011,0.0399714,0.897437,0.439327,100
0.234039,-0.961643,-0.143071,0.229714,-0.962952,-0.141262,-0.654748,-0.06858,-0.752729,-0.683128,0.693463,-0.229009,-0.684193,0.64623,0.338033,0.654748,0.0685799,0.752729,0.314704,0.853539,0.415251,-0.339696,0.727183,0.596499,-0.477323,0.861227,-0.174503,0.0523111,0.902099,0.428347,100
0.231433,-0.963088,-0.137479,0.22451,-0.964823,-0.136791,-0.670723,-0.071574,-0.738247,-0.697609,0.685355,-0.208878,-0.6864,0.638886,0.347391,0.670723,0.071574,0.738246,0.340297,0.858095,0.384539,-0.301829,0.768486,0.564206,-0.479536,0.860083,-0.174074,0.0648096,0.905142,0.42014,100
0.23499,-0.964222,-0.1227,0.223807,-0.966731,-0.123859,-0.693769,-0.0841912,-0.715259,-0.710982,0.680797,-0.176123,-0.689507,0.630222,0.356932,0.693769,0.084191,0.715259,0.371919,0.863265,0.341248,-0.249695,0.799898,0.545725,-0.487483,0.85514,-0.176343,0.0748799,0.91352,0.399844,100
0.238602,-0.964787,-0.110698,0.222926,-0.968359,-0.112179,-0.738055,-0.100441,-0.667223,-0.723697,0.672371,-0.155499,-0.688634,0.620791,0.374701,0.738055,0.100441,0.667223,0.368545,0.869481,0.328904,-0.196513,0.833643,0.516161,-0.501276,0.84951,-0.164484,0.0908832,0.92518,0.368486,100
0.240165,-0.965255,-0.102977,0.222054,-0.969078,-0.107614,-0.780906,-0.112072,-0.614512,-0.725725,0.676275,-0.126392,-0.675836,0.622777,0.394201,0.780907,0.112072,0.614511,0.437761,0.840179,0.320101,-0.252664,0.843659,0.47371,-0.515375,0.844322,-0.146661,0.107905,0.932816,0.343818,100
0.246507,-0.963496,-0.10445,0.226522,-0.967927,-0.108656,-0.806298,-0.121272,-0.578944,-0.742165,0.663657,-0.0935465,-0.649637,0.639001,0.411885,0.806298,0.121272,0.578944,0.43956,0.843848,0.307746,-0.19936,0.86914,0.452605,-0.528675,0.838638,-0.131108,0.113793,0.936803,0.330833,100
0.257913,-0.960813,-0.101589,0.235791,-0.966007,-0.10599,-0.821635,-0.13543,-0.553692,-0.747084,0.660737,-0.0727436,-0.634503,0.651117,0.416476,0.821634,0.13543,0.553693,0.549301,0.78124,0.296534,-0.270187,0.859306,0.434273,-0.5429,0.830693,-0.123327,0.111426,0.941375,0.318431,100
0.279545,-0.954338,-0.105323,0.250947,-0.961945,-0.108105,-0.83023,-0.149412,-0.537023,-0.744055,0.667087,-0.0371061,-0.623836,0.655902,0.424996,0.83023,0.149413,0.537023,0.572277,0.767692,0.288354,-0.195769,0.885454,0.42148,-0.558294,0.821853,-0.113429,0.0991048,0.944593,0.312924,100
0.295258,-0.947775,-0.120603,0.264213,-0.956777,-0.12153,-0.838338,-0.155377,-0.52254,-0.725698,0.687784,-0.0177648,-0.630199,0.648575,0.426849,0.838338,0.155376,0.52254,0.590321,0.763021,0.263288,-0.159667,0.888292,0.430631,-0.570979,0.815604,-0.0936675,0.0874391,0.943883,0.318494,100
0.309866,-0.941515,-0.132413,0.275083,-0.951808,-0.135615,-0.834775,-0.155358,-0.528218,-0.716435,0.697372,-0.0198478,-0.626983,0.654863,0.421955,0.834775,0.155358,0.528218,0.569703,0.777158,0.267326,-0.130726,0.885217,0.446433,-0.578469,0.811542,-0.0823016,0.0748522,0.939842,0.333309,100
0.304888,-0.941539,-0.143347,0.274457,-0.950515,-0.145587,-0.818499,-0.145166,-0.555866,-0.715656,0.697437,-0.0376591,-0.630701,0.664063,0.401542,0.818499,0.145166,0.555866,0.506016,0.818684,0.271485,-0.0934074,0.86859,0.486649,-0.573323,0.814931,-0.0847786,0.0700433,0.932868,0.353343,100
